benchmark,n,threshold,majority_accuracy,always_debate_accuracy,covdvg_accuracy,uncertainty_matched_accuracy,lowconf_matched_accuracy,random_matched_accuracy_mean,random_matched_accuracy_std,oracle_accuracy,debate_rate,avg_base_tokens,avg_always_debate_tokens,avg_covdvg_tokens,token_savings_vs_always_pct,covdvg_minus_majority,covdvg_minus_majority_ci_low,covdvg_minus_majority_ci_high,covdvg_minus_always,covdvg_minus_always_ci_low,covdvg_minus_always_ci_high,mcnemar_p_vs_majority,mcnemar_p_vs_always,corrections_selected,subversions_selected,available_corrections,available_subversions
gsm8k,200,inf,0.935,0.945,0.935,0.935,0.935,0.9350000000000005,4.440892098500626e-16,0.945,0.0,1693.17,4080.665,1693.17,58.5074981651275,0.0,0.0,0.0,-0.01,-0.025,0.0,1.0,0.5,0,0,2,0
mmlu_pro,200,inf,0.69,0.695,0.69,0.69,0.69,0.6899999999999997,2.220446049250313e-16,0.715,0.0,2825.96,6600.68,2825.96,57.18683529575741,0.0,0.0,0.0,-0.005,-0.035,0.025,1.0,1.0,0,0,5,4
math,300,-inf,0.8,0.86,0.86,0.86,0.86,0.8599999999999999,1.1102230246251565e-16,0.8666666666666667,1.0,2906.7933333333335,7851.18,7851.18,0.0,0.06,0.03,0.09,0.0,0.0,0.0,0.00012111663818359375,1.0,20,2,20,2
gpqa,200,0.03948094695806503,0.46,0.485,0.48,0.475,0.475,0.4702399999999999,0.00631010301025267,0.49,0.41,3199.46,7896.63,5459.24,30.86620495071949,0.02,0.005,0.045,-0.005,-0.02,0.01,0.125,1.0,4,0,6,1
