benchmark,n,threshold,majority_accuracy,always_debate_accuracy,covdvg_accuracy,uncertainty_matched_accuracy,lowconf_matched_accuracy,random_matched_accuracy_mean,random_matched_accuracy_std,oracle_accuracy,debate_rate,avg_base_tokens,avg_always_debate_tokens,avg_covdvg_tokens,token_savings_vs_always_pct,covdvg_minus_majority,covdvg_minus_majority_ci_low,covdvg_minus_majority_ci_high,covdvg_minus_always,covdvg_minus_always_ci_low,covdvg_minus_always_ci_high,mcnemar_p_vs_majority,mcnemar_p_vs_always,corrections_selected,subversions_selected,available_corrections,available_subversions
gsm8k,200,inf,0.93,0.925,0.93,0.93,0.93,0.9299999999999998,2.220446049250313e-16,0.94,0.0,1865.505,4741.695,1865.505,60.657423136663155,0.0,0.0,0.0,0.005,-0.015,0.025,1.0,1.0,0,0,2,3
mmlu_pro,200,inf,0.625,0.635,0.625,0.625,0.625,0.625,0.0,0.65,0.0,3278.62,7958.665,3278.62,58.804397471183925,0.0,0.0,0.0,-0.01,-0.035,0.02,1.0,0.7265625,0,0,5,3
math,200,0.8749940395355225,0.725,0.84,0.795,0.78,0.785,0.7436575000000001,0.009686856752837845,0.855,0.165,3203.985,8840.005,4709.57,46.724351400253724,0.07,0.035,0.11,-0.045,-0.08,-0.01,0.000518798828125,0.0224609375,15,1,26,3
gpqa,68,inf,0.4117647058823529,0.4411764705882353,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.41176470588235303,1.1102230246251565e-16,0.4411764705882353,0.0,4393.39705882353,11146.04411764706,4393.39705882353,60.58335125492954,0.0,0.0,0.0,-0.029411764705882353,-0.07352941176470588,0.0,1.0,0.5,0,0,2,0
